Inven Week,재고수량
201901,163675
201902,280385
201903,274289
201904,221294
201905,137904
201906,129716
201907,130079
201908,101793
201909,94781
201910,261241
201911,310160
201912,286759
201913,197944
201914,185295
201915,248115
201916,290891
201917,359115
201918,336055
201919,221116
201920,285308
201921,220191
201922,219917
201923,291115
201924,347889
201925,310205
201926,166426
201927,206830
201928,247017
201929,247017
201930,325272
201931,282010
201932,282044
201933,195871
201934,222638
201935,401894
201936,595877
201937,586499
201938,532978
201939,453086
201940,295408
201941,268574
201942,329648
201943,457456
201944,628175
201945,583257
201946,503889
201947,514039
201948,402367
201949,453382
201950,548225
201951,660010
201952,704804
202001,629709
202002,649121
202003,595718
202004,561899
202005,592359
202006,626276
202007,537030
202008,433067
202009,232891
202010,390616
202011,521018
202012,593509
202013,693780
202014,875869
202015,828364
202016,841502
202017,850568
202018,679967
202019,531332
202020,461138
202021,436128
202022,355171
202023,569349
202024,600039
202025,670966
202026,769202
202027,846436
202028,945581
202029,1088992
202030,1008402
202031,840283
202032,702949
202033,776196
202034,843641
202035,969377
202036,921796
202037,815885
202038,799789
202039,783857
202040,599409
202041,475433
202042,646295
202043,779657
202044,688083
202045,646901
202046,678227
202047,827122
202048,789573
202049,642683
202050,553609
202051,429176
202052,430909
202053,422602
202101,515639
202102,543389
202103,736056
202104,819596
202105,1896208
202106,2081146
202107,2348016
202108,1215380
202109,1154057
202110,1230948
202111,1246419
202112,1111362
202113,1160150
202114,1193339
202115,1002560
202116,853427
