Inven Week,Date,재고수량
201901,2019-01-06,9436
201902,2019-01-13,9058
201903,2019-01-20,898
201904,2019-01-27,30760
201905,2019-02-03,577
201906,2019-02-10,30817
201907,2019-02-17,577
201908,2019-02-24,57
201914,2019-04-07,6048
201915,2019-04-14,30240
201916,2019-04-21,45360
201920,2019-05-19,15120
201922,2019-06-02,30240
201926,2019-06-30,15120
201928,2019-07-14,45189
201929,2019-07-21,207
201930,2019-07-28,15327
201931,2019-08-04,15120
201934,2019-08-25,15876
201935,2019-09-01,11339
201936,2019-09-08,3402
201937,2019-09-15,24192
201938,2019-09-22,17388
201939,2019-09-29,28350
201940,2019-10-06,32130
201941,2019-10-13,756
201942,2019-10-20,756
201943,2019-10-27,756
201944,2019-11-03,4158
201945,2019-11-10,15876
201946,2019-11-17,756
201947,2019-11-24,756
201948,2019-12-01,756
201949,2019-12-08,756
201950,2019-12-15,756
201951,2019-12-22,756
201952,2019-12-29,756
202001,2020-01-05,756
202002,2020-01-12,756
202003,2020-01-19,756
202004,2020-01-26,756
202005,2020-02-02,756
202006,2020-02-09,756
202007,2020-02-16,756
202008,2020-02-23,1334
202009,2020-03-01,1334
202010,2020-03-08,756
202011,2020-03-15,756
202012,2020-03-22,756
202013,2020-03-29,756
202014,2020-04-05,756
202015,2020-04-12,756
202016,2020-04-19,756
202017,2020-04-26,756
202018,2020-05-03,15876
202019,2020-05-10,756
202020,2020-05-17,30996
202021,2020-05-24,31003
202022,2020-05-31,32130
202023,2020-06-07,1890
202024,2020-06-14,1137
202025,2020-06-21,756
202026,2020-06-28,756
202027,2020-07-05,756
202028,2020-07-12,756
202029,2020-07-19,756
202030,2020-07-26,437
202031,2020-08-02,151200
202034,2020-08-23,13986
202036,2020-09-06,0
202043,2020-10-25,15120
202044,2020-11-01,0
202046,2020-11-15,90720
202048,2020-11-29,30240
202049,2020-12-06,1134
202050,2020-12-13,378
202051,2020-12-20,-15120
202052,2020-12-27,-15120
202103,2021-01-24,15120
202106,2021-02-14,30240
202107,2021-02-21,15120
202108,2021-02-28,0
202110,2021-03-14,15120
202112,2021-03-28,45360
202113,2021-04-04,45360
202115,2021-04-18,30240
202116,2021-04-25,105840
