,ww,202113,202112,202111,202110,sale_hat
0,202114,241920,226800,226800,226800,184337.04015731812
1,202115,347760,347760,347760,347760,302932.8921966553
2,202116,393120,408240,408240,393120,311178.5869064331
3,202117,302400,287280,287280,302400,270029.6105155945
4,202118,302400,317520,317520,302400,249496.20176315308
5,202119,257040,241920,241920,257040,235174.49897384644
6,202120,287280,287280,287280,287280,258320.18017578125
7,202121,347760,105840,105840,105840,281074.27351760864
8,202122,257040,362880,362880,362880,217871.36853027344
9,202123,272160,241920,241920,241920,235980.667263031
10,202124,317520,302400,302400,302400,266888.0964050293
11,202125,347760,317520,317520,317520,286238.0395088196
12,202126,378000,378000,378000,378000,312125.2823295593
13,202127,181440,408240,408240,408240,161323.69721221924
14,202128,378000,378000,378000,378000,299634.2100601196
15,202129,393120,393120,393120,378000,325020.65406799316
16,202130,378000,378000,378000,393120,301244.83139801025
